Neighborhood	Households	median HH income
Allegheny Center/Allegheny West	685	28125
Allentown	1075	29509
Arlington/Arlington Heights	805	33542
Banksville 	1940	56959
Bedford Dwellings	675	11274
Beechview	3550	42919
Beltzhoover/Bon Air	1245	30,602
Bloomfield	4760	40445
Bluff	290	42576
Brighton Heights	5890	48,981
Brookline	5890	48981
California-Kirkbride	315	19306
Carrick	1745	37557
Central Business District	4330	63938
Central Lawrenceville	2200	45282
Central Northside	1380	42146
Central Oakland	1900	19208
Chartiers City/Windgap/Fairywood	1140	57796
Crafton Heights	15555	38423
Crawford-Roberts	1260	17261
Duquesne Heights	1,225	64609
East Allegheny/North Shore	1410	24983
East Carnegie/Oakwood	775	43011
East Hills	1315	16185
East Liberty	3045	27949
Elliott/West End	1015	31875
Esplen/Sheraden	2255	41083
Fineview	645	19541
Friendship	995	31836
Garfield	1605	24776
Glen Hazel/Hays/Hazelwood	2250	26607
Greenfield	3385	54245
Highland Park	2935	51048
Homewood North	1435	24034
Homewood South	1095	19035
Knoxville	1450	28897
Larimer	685	20781
Lincoln Place	1445	49194
Lincoln-Lemmington-Belmar	1920	52987
Lower Lawrenceville	1160	37446
Manchester	910	35893
Marshall-Shadeland	1915	32888
Middle Hill	970	17931
Morningside	1550	48080
Mount Washington	4510	46567
Mt. Oliver/St. Clair	410	39784
New Homestead	375	66250
North Oakland	3075	20774
Northview Heights	495	11716
Overbrook	1675	47624
Perry North	1605	43875
Perry South 	1785	26768
Point Breeze	2330	91965
Point Breeze North	1035	50417
Polish Hill	710	38889
Regent Square	420	77054
Ridgemont/Westwood	1620	50143
Shadyside	8015	47783
South Oakland	1105	30444
South Side Flats	3525	49752
South Side Slopes	2020	38691
Spring Garden	440	32447
Spring Hill-City View 	1115	25313
Squirrel Hill North	3505	94395
Squirrel Hill South	6820	59196
Stanton Heights	2040	49268
Strip District	375	73214
Summer Hill	520	56691
Swisshelm Park	580	58409
Terrace Village 	1040	11922
Troy Hill	1275	37731
Upper Hill	895	28487
Upper Lawrenceville	1090	38302
West Oakland	655	20577
TOTAL	133190	40009
